"","req","X","cplx","complexity","author","owner","nuc","form","procedural","location","level","textorder","dependencies","coherence","steps","steps.functional","steps.beyond","steps.mis.variations","steps.mis.main","steps.consistent","sequence.main","sequence.alt","numbering","entities","actors","actors_explicit","totalinteractions","interactions","pureinteractions","consecutive","month","lambda","s2"
"1","req1",1,"High Complexity",3,"author8","owner3",2,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2023-08-01,125,134
"2","req10",10,"Medium Complexity",2,"author23","owner8",3,"informal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2020-04-01,100,86
"3","req100",100,"Medium Complexity",2,"author1","owner3",2,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2024-01-01,95,96
"4","req1000",1000,"High Complexity",3,"author12","owner10",2,"informal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2021-04-01,125,113
"5","req101",101,"Medium Complexity",2,"author24","owner9",2,"description",1,"Solution Proposal","System",1,1,0.387002428760752,7.5,6,1,0.5,0.5,0.5,1,1,1,0,0,0,16,8,3,4.5,2020-03-01,105,100
"6","req102",102,"High Complexity",3,"author10","owner7",1,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2022-10-01,120,117
"7","req103",103,"Low Complexity",1,"author23","owner8",1,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2020-12-01,60,57
"8","req104",104,"High Complexity",3,"author30","owner3",2,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2021-10-01,125,128
"9","req105",105,"Medium Complexity",2,"author22","owner3",1,"informal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2023-03-01,90,79
"10","req106",106,"Low Complexity",1,"author25","owner6",1,"description",1,"Solution Proposal","System",1,1,0.888289951253682,3,2,1,0,0,1,1,1,1,1,0,0,6,6,2,2,2020-10-01,70,61
"11","req107",107,"Low Complexity",1,"author2","owner8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-07-01,55,60
"12","req108",108,"Low Complexity",1,"author5","owner9",2,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2024-02-01,65,70
"13","req109",109,"Low Complexity",1,"author1","owner10",2,"description",1,"Business Background","(no level)",1,1,0.500413888716139,5.5,3.5,1,1.5,0,1.5,1,1,1,1,1,0,13,6.5,3.5,3.5,2022-02-01,75,80
"14","req11",11,"Low Complexity",1,"author26","owner10",1,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2024-07-01,60,61
"15","req110",110,"Medium Complexity",2,"author1","owner8",2,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2020-03-01,95,82
