"","req","ucid","complexity","Form","Procedural","Fields","Location","Level","Text.Order","Dependencies","Coherent","Steps","Functional.Steps","Whitebox.Steps","Misplaced.Variations","Misplaced.Main","Sequence.Main","Sequence.Alt","Numbering","Consistent.Grammar","entities","actors","actors.explicit","interactions","pureinteractions","consecutive"
"1","req1","uc1",3,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","req1","uc2",3,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","req10","uc1",2,"informal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","req10","uc2",2,"informal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","req10","uc3",2,"informal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","req100","uc1",2,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","req100","uc2",2,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","req1000","uc1",3,"informal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","req1000","uc2",3,"informal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","req101","uc1",2,"description",TRUE,"title; main scenario; additional information; solution hints; assumptions; extensions; dependencies","Solution Proposal","System",TRUE,TRUE,0.187306446954608,9,7,2,1,0,TRUE,TRUE,TRUE,0,0,0,0,10,4,6
"11","req101","uc2",2,"description",TRUE,"title; main scenario; additional information; solution hints; assumptions; extensions; dependencies","Business Background","Business",TRUE,TRUE,0.586698410566896,6,5,0,0,1,TRUE,TRUE,TRUE,1,0,0,0,6,2,3
"12","req102","uc1",3,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","req103","uc1",1,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","req104","uc1",3,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","req104","uc2",3,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","req105","uc1",2,"informal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","req106","uc1",1,"description",TRUE,"title; main scenario; extensions; actor; level; assumptions","Solution Proposal","System",TRUE,TRUE,0.888289951253682,3,2,1,0,0,TRUE,TRUE,TRUE,1,1,0,0,6,2,2
"18","req108","uc1",1,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","req108","uc2",1,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","req109","uc1",1,"description",TRUE,"title; main scenario; postconditions; extensions; revision history; limitations","Business Background","(no level)",TRUE,TRUE,0.654362491099164,5,4,1,1,0,TRUE,TRUE,TRUE,2,1,1,0,5,2,3
"21","req109","uc2",1,"description",TRUE,"title; main scenario; postconditions; extensions; revision history; limitations","default","(no level)",TRUE,TRUE,0.346465286333114,6,3,1,2,0,TRUE,TRUE,TRUE,1,1,1,0,8,5,4
"22","req11","uc1",1,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","req110","uc1",2,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","req110","uc2",2,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","req111","uc1",3,"description",TRUE,"title; main scenario; additional information; extensions; dependencies; postconditions; actor; preconditions","Solution Proposal","System",TRUE,TRUE,0.384354130132124,12,9,0,0,1,TRUE,TRUE,TRUE,3,0,0,0,17,6,7
"26","req112","uc1",1,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","req112","uc2",1,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","req113","uc1",2,"description",TRUE,"title; main scenario; revision history; preconditions; level; assumptions; limitations; solution hints","Solution Proposal","Business",TRUE,TRUE,0.806614351691678,5,5,3,1,2,TRUE,TRUE,TRUE,2,1,0,0,5,2,2
"29","req113","uc2",2,"description",TRUE,"title; main scenario; revision history; preconditions; level; assumptions; limitations; solution hints","default","User",TRUE,TRUE,0.69599734689109,6,6,0,0,1,TRUE,TRUE,TRUE,0,1,1,1,8,5,3
"30","req114","uc1",1,"title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","req115","uc1",2,"description",TRUE,"title; main scenario; dependencies; level; postconditions; additional information; preconditions","Business Background","User",TRUE,TRUE,0.913011465454474,8,4,0,1,1,TRUE,TRUE,TRUE,1,0,0,0,11,4,8
